INFO   | jvm 1    | main    | 2016/03/18 13:07:03.347 | 	at de.hybris.platform.servicelayer.internal.i18n.impl.DefaultLocalizationService.matchDataLocale(DefaultLocalizationService.java:228)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.347 | 	at de.hybris.platform.servicelayer.internal.i18n.impl.DefaultLocalizationService.getDataLocale(DefaultLocalizationService.java:146)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.348 | 	at de.hybris.platform.servicelayer.i18n.impl.DefaultI18NService.getBestMatchingLocale(DefaultI18NService.java:167)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.349 | 	at de.hybris.platform.servicelayer.internal.converter.impl.DefaultLocaleProvider.toDataLocale(DefaultLocaleProvider.java:61)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.349 | 	at de.hybris.platform.servicelayer.model.ItemModelContextImpl.toDataLocale(ItemModelContextImpl.java:434)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.349 | 	at de.hybris.platform.servicelayer.model.ItemModelContextImpl.getLocalizedValue(ItemModelContextImpl.java:325)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.350 | 	at de.hybris.platform.core.model.type.TypeManagerManagedModel.getName(TypeManagerManagedModel.java:181)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.350 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.convertType(DefaultPlatformTypeFacadeStrategy.java:296)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.351 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.loadAndCache(DefaultPlatformTypeFacadeStrategy.java:181)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.352 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.convertAttribute(DefaultPlatformTypeFacadeStrategy.java:342)
INFO   | jvm 1    | main    | 2016/03/18 13:07:03.352 | 	at com.hybris.backoffice.cockpitng.dataaccess.facades.type.DefaultPlatformTypeFacadeStrategy.convertType(DefaultPlatformTypeFacadeStrategy.java:279)
